"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Satish H.; Srikar V.V.; Reddy S.R.T.; Challagani A.","Satish, Helan (57223103226); Srikar, Valiveti Venkata (60546220700); Reddy, Sureddy Raghu Teja (60547198100); Challagani, Abhilash (60547035000)","57223103226; 60546220700; 60547198100; 60547035000","User-friendly cardiac arrhythmia detection using smart ECG kit and Deep learning technique","2025","2025 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies, INSPECT 2025","","","","","","0","10.1109/INSPECT67393.2025.11350324","https://www.scopus.com/pages/publications/105034385585?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105034385585"
"Garg A.; Singh D.; Chopra N.; Nayyer B.; Rattan S.","Garg, Ankit (57215595072); Singh, Dhawan (57195940099); Chopra, Nidhi (60102470700); Nayyer, Bhavna (60141469000); Rattan, Sonal (57215811774)","57215595072; 57195940099; 60102470700; 60141469000; 57215811774","A Cardiovascular Disease Early Detection System in Cloud-A Project Based Approach","2025","2025 2nd International Conference on Multidisciplinary Research and Innovations in Engineering, MRIE 2025","","","","254","259","1","10.1109/MRIE66930.2025.11156700","https://www.scopus.com/pages/publications/105018798621?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105018798621"
"Alammar S.; Aldawsari H.; Alsahly A.; Alghamdi K.A.; Khan M.A.","Alammar, Saad (60074483000); Aldawsari, Hamad (59156775500); Alsahly, Abdullah (60146912000); Alghamdi, Khalid A. (57564917100); Khan, Muhammad Attique (57222652080)","60074483000; 59156775500; 60146912000; 57564917100; 57222652080","Federated Explainable AI for Privacy-Preserving Cardiovascular Disease Detection Using Wearable Devices","2026","IEEE Transactions on Consumer Electronics","72","1","","2164","2175","0","10.1109/TCE.2025.3647850","https://www.scopus.com/pages/publications/105025924496?origin=resultslist","Article","Final","Scopus","2-s2.0-105025924496"
"Hasumi E.; Fujiu K.; Chen Y.; Miyamoto S.; Oida M.; Shimizu Y.; Kani K.; Goto K.; Uchida R.; Liu Y.; Oshima T.; Matsuda J.; Matsubara T.J.; Sugita J.; Nakayama Y.; Oguri G.; Kojima T.; Maru Y.; Kodera S.; Akazawa H.; Shoda M.; Komuro I.","Hasumi, Eriko (21233243100); Fujiu, Katsuhito (6602492977); Chen, Ying (57221699626); Miyamoto, Sumie (59754299700); Oida, Mitsunori (57219234911); Shimizu, Yu (56841059300); Kani, Kunihiro (57218123951); Goto, Kohsaku (57224191348); Uchida, Ryoko (57804133400); Liu, Yuxiang (57211130434); Oshima, Tsukasa (57200386806); Matsuda, Jun (57191512113); Matsubara, Takumi J. (57031289300); Sugita, Junichi (57211224321); Nakayama, Yukiteru (57190155842); Oguri, Gaku (55616770300); Kojima, Toshiya (39762048500); Maru, Yujin (57203141668); Kodera, Satoshi (16203106600); Akazawa, Hiroshi (7006608529); Shoda, Morio (7102731452); Komuro, Issei (36037787700)","21233243100; 6602492977; 57221699626; 59754299700; 57219234911; 56841059300; 57218123951; 57224191348; 57804133400; 57211130434; 57200386806; 57191512113; 57031289300; 57211224321; 57190155842; 55616770300; 39762048500; 57203141668; 16203106600; 7006608529; 7102731452; 36037787700","Heart failure monitoring with a single‑lead electrocardiogram at home","2025","International Journal of Cardiology","432","","133203","","","7","10.1016/j.ijcard.2025.133203","https://www.scopus.com/pages/publications/105003555268?origin=resultslist","Article","Final","Scopus","2-s2.0-105003555268"
"Mulani A.O.; Liyakat K.K.S.; Warade N.S.; Patil A.; Kolte M.T.; Kinage K.; Rana M.; Salunkhe S.S.; Jadhav V.S.; Nagrale M.","Mulani, Altaf O. (56509552600); Liyakat, Kazi Kutubuddin Sayyad (58237039600); Warade, Nilima S. (57209211481); Patil, Alaknanda (57205025454); Kolte, Mahesh T. (36107009000); Kinage, Kishor (36600595000); Rana, Manish (57189044255); Salunkhe, Shweta Sadanand (57210928099); Jadhav, Vaishali Satish (57210705430); Nagrale, Megha (57221719233)","56509552600; 58237039600; 57209211481; 57205025454; 36107009000; 36600595000; 57189044255; 57210928099; 57210705430; 57221719233","ML-powered Internet of Medical Things Structure for Heart Disease Prediction","2025","Journal of Pharmacology and Pharmacotherapeutics","","","","","","10","10.1177/0976500X241306184","https://www.scopus.com/pages/publications/105002629308?origin=resultslist","Article","Article in press","Scopus","2-s2.0-105002629308"
"Kumar A.; Prathiksha Raj U.; Maben M.","Kumar, Arhath (57189322023); Prathiksha Raj, U. (60170469100); Maben, Mark (60170689000)","57189322023; 60170469100; 60170689000","Heart Disease Prediction Using Machine Learning Algorithms","2025","3rd IEEE International Conference on Networks, Multimedia and Information Technology, NMITCON 2025","","","","","","4","10.1109/NMITCON65824.2025.11187908","https://www.scopus.com/pages/publications/105020826847?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105020826847"
"Pozza A.; Zanella L.; Castaldi B.; Di Salvo G.","Pozza, Alice (57208052564); Zanella, Luca (57201884124); Castaldi, Biagio (15060020400); Di Salvo, Giovanni (7003610825)","57208052564; 57201884124; 15060020400; 7003610825","How Will Artificial Intelligence Shape the Future of Decision-Making in Congenital Heart Disease?","2024","Journal of Clinical Medicine","13","10","2996","","","18","10.3390/jcm13102996","https://www.scopus.com/pages/publications/85194281528?origin=resultslist","Review","Final","Scopus","2-s2.0-85194281528"
"Thinakaran K.; Sreevidhya S.; Singh B.; Divyasri Y.; Praveenkumar C.; Upadhyay A.","Thinakaran, K. (56287159200); Sreevidhya, S. (58940269300); Singh, Brijesh (59622141600); Divyasri, Yetchina (58902223800); Praveenkumar, C. (60201525500); Upadhyay, Ankit (59723738200)","56287159200; 58940269300; 59622141600; 58902223800; 60201525500; 59723738200","Predicting Cardiovascular Disease Progression Using Transformer Networks and Electronic Health Records (EHR)","2025","2025 3rd International Conference on IoT, Communication and Automation Technology, ICICAT 2025","","","","","","0","10.1109/ICICAT68430.2025.11414634","https://www.scopus.com/pages/publications/105035832758?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105035832758"
"Zhu B.; Zhou Z.; Yu S.; Liang X.; Xie Y.; Sun Q.","Zhu, Bing (57193718174); Zhou, Zihong (59306611400); Yu, Shaode (55848924700); Liang, Xiaokun (57190383673); Xie, Yaoqin (7403959922); Sun, Qiuirui (26650256500)","57193718174; 59306611400; 55848924700; 57190383673; 7403959922; 26650256500","Review of Phonocardiogram Signal Analysis: Insights from the PhysioNet/CinC Challenge 2016 Database","2024","Electronics (Switzerland)","13","16","3222","","","23","10.3390/electronics13163222","https://www.scopus.com/pages/publications/85202649188?origin=resultslist","Review","Final","Scopus","2-s2.0-85202649188"
"Mirzajani H.; Kraft M.","Mirzajani, Hadi (55307447900); Kraft, Michael (7102626205)","55307447900; 7102626205","Soft Bioelectronics for Heart Monitoring","2024","ACS Sensors","9","9","","4328","4363","21","10.1021/acssensors.4c00442","https://www.scopus.com/pages/publications/85203411995?origin=resultslist","Review","Final","Scopus","2-s2.0-85203411995"
"Mesitskaya D.F.; Fashafsha Z.Z.A.; Poltavskaya M.G.; Andreev D.A.; Levshina A.R.; Sultygova E.A.; Gognieva D.; Chomakhidze P.; Kuznetsova N.; Suvorov A.; Marina I. S.; Poddubskaya E.; Novikova A.; Bykova A.; Kopylov P.","Mesitskaya, Dinara F. (56528511200); Fashafsha, Zaki Z.A. (57579536600); Poltavskaya, Maria G. (57219951375); Andreev, Denis A. (8235830500); Levshina, Anna R. (57223935450); Sultygova, Elizaveta A. (58782171400); Gognieva, Daria (57194189676); Chomakhidze, Petr (56037717000); Kuznetsova, Natalia (57217866769); Suvorov, Alexander (57213827983); Marina I., Sekacheva (24342526600); Poddubskaya, Elena (56089215700); Novikova, Alena (57214321803); Bykova, Aleksandra (57109129000); Kopylov, Philipp (6507736224)","56528511200; 57579536600; 57219951375; 8235830500; 57223935450; 58782171400; 57194189676; 56037717000; 57217866769; 57213827983; 24342526600; 56089215700; 57214321803; 57109129000; 6507736224","A single-lead ECG based cardiotoxicity detection in patients on polychemotherapy","2024","IJC Heart and Vasculature","50","","101336","","","11","10.1016/j.ijcha.2024.101336","https://www.scopus.com/pages/publications/85183570574?origin=resultslist","Article","Final","Scopus","2-s2.0-85183570574"
"Dilip P.P.; Kamble S.","Dilip, P. Patil (60570140700); Kamble, Swapna (59558375600)","60570140700; 59558375600","Chronic Heart Disease Management with AI: Predictive Models and Early Interventions Using AI to Monitor Heart Disease Patients, Predict Adverse Events, and Recommend Preventive Measures","2026","Artificial Intelligence and Machine Learning in Neurology, 2 Volume Set","1-2","","","483","506","0","10.1002/9781394389131.ch18","https://www.scopus.com/pages/publications/105035280305?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105035280305"
"Montanaro T.; Sergi I.; Shumba A.-T.; Mammone N.; Ieracitano C.; Distante C.; Bramanti A.; Garofano M.; Patrono L.","Montanaro, Teodoro (56285236200); Sergi, Ilaria (55512097200); Shumba, Angela-Tafadzwa (57321584300); Mammone, Nadia (55915193500); Ieracitano, Cosimo (57192383001); Distante, Cosimo (55884135100); Bramanti, Alessia (23011171400); Garofano, Marina (57218251410); Patrono, Luigi (6507173572)","56285236200; 55512097200; 57321584300; 55915193500; 57192383001; 55884135100; 23011171400; 57218251410; 6507173572","An Innovative Digital Twin Platform for Supporting Doctors and Patients Affected by Chronic Heart Failure","2025","2025 10th International Conference on Smart and Sustainable Technologies, SpliTech 2025","","","","","","0","10.23919/SpliTech65624.2025.11091649","https://www.scopus.com/pages/publications/105013470202?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105013470202"
"Van Vliet M.; Monnink S.H.J.; Kuiper M.J.; Constandse J.C.; Hoftijzer D.; Ronner E.","Van Vliet, Mariska (24504514300); Monnink, Stefan H. J (6602545505); Kuiper, Mathijs J (56976059300); Constandse, Jan C (55675764100); Hoftijzer, Dieke (59137422100); Ronner, Eelko (6603110779)","24504514300; 6602545505; 56976059300; 55675764100; 59137422100; 6603110779","Evaluation of a novel cuffless photoplethysmography-based wristband for measuring blood pressure according to the regulatory standards","2024","European Heart Journal - Digital Health","5","3","","335","343","13","10.1093/ehjdh/ztae006","https://www.scopus.com/pages/publications/85193796339?origin=resultslist","Article","Final","Scopus","2-s2.0-85193796339"
"Dunn P.; Charbonneau R.; Ozemek C.; Arena R.; Wisløff U.","Dunn, Patrick (57192239728); Charbonneau, Rachael (60576957400); Ozemek, Cemal (35729288000); Arena, Ross (57200663439); Wisløff, Ulrik (57204822365)","57192239728; 60576957400; 35729288000; 57200663439; 57204822365","Digital care in your pocket: The role of technology in exercise, fitness, prevention, and rehabilitation","2026","Progress in Cardiovascular Diseases","","","","","","0","10.1016/j.pcad.2026.04.002","https://www.scopus.com/pages/publications/105035677278?origin=resultslist","Review","Article in press","Scopus","2-s2.0-105035677278"
"Khan M.A.; Saudagar A.K.J.; Yaqoob M.M.; Nazir M.; Yousafzai A.; Khaliq uz Zaman S.; Alkhrijah Y.M.; Mazhar T.","Khan, Muhammad Amir (56132357300); Saudagar, Abdul Khader Jilani (56166431300); Yaqoob, Muhammad Mateen (57201794812); Nazir, Muhammad (27067832200); Yousafzai, Abdullah (56556462500); Khaliq uz Zaman, Sardar (59663393200); Alkhrijah, Yazeed Masaud (57222055391); Mazhar, Tehseen (57219034600)","56132357300; 56166431300; 57201794812; 27067832200; 56556462500; 59663393200; 57222055391; 57219034600","Federated learning for heart disease detection and classification in edge enabled IoMT-based healthcare: taxonomy, challenges, and opportunities","2025","Computing","107","11","219","","","1","10.1007/s00607-025-01572-2","https://www.scopus.com/pages/publications/105019796337?origin=resultslist","Article","Final","Scopus","2-s2.0-105019796337"
"Hsieh P.N.; Singh J.P.","Hsieh, Paishiun Nelson (59628133400); Singh, Jagmeet P. (7404421739)","59628133400; 7404421739","Rhythm-Ready: Harnessing Smart Devices to Detect and Manage Arrhythmias","2024","Current Cardiology Reports","26","12","5074","1385","1391","0","10.1007/s11886-024-02135-1","https://www.scopus.com/pages/publications/85207015067?origin=resultslist","Article","Final","Scopus","2-s2.0-85207015067"
"Larsen A.T.; Sopina L.; Aasvang E.K.; Meyhoff C.S.; Kristensen S.R.; Kjellberg J.","Larsen, Arendse Tange (57195101872); Sopina, Liza (60126588600); Aasvang, Eske Kvanner (6505834336); Meyhoff, Christian Sylvest (55498777800); Kristensen, Søren Rud (55969360700); Kjellberg, Jakob (6701494869)","57195101872; 60126588600; 6505834336; 55498777800; 55969360700; 6701494869","Estimation of the maximum potential cost saving from reducing serious adverse events in hospitalized patients","2024","Acta Anaesthesiologica Scandinavica","68","10","","1471","1480","3","10.1111/aas.14525","https://www.scopus.com/pages/publications/85205068655?origin=resultslist","Article","Final","Scopus","2-s2.0-85205068655"
"Ibitoye N.S.; Acho M.A.; Raji R.O.; Nwonuma C.O.; Egbegbadia S.E.; Akinduko A.A.","Ibitoye, Nehemiah Shola (60258446700); Acho, Marvellous Amarachi (57208923204); Raji, Rukaiya Oyiza (60023176500); Nwonuma, Charles O. (57192302973); Egbegbadia, Sandra Ese (60258395000); Akinduko, Ayokunmi Adebukola (57754719400)","60258446700; 57208923204; 60023176500; 57192302973; 60258395000; 57754719400","The Role of Artificial Intelligence in Early Detection and Diagnosis of Cardiovascular Diseases","2025","NIPES - Journal of Science and Technology Research","7","1 Special Issue","","1416","1420","0","10.37933/nipes/7.4.2025.SI280","https://www.scopus.com/pages/publications/105025886285?origin=resultslist","Article","Final","Scopus","2-s2.0-105025886285"
"Fastenrath F.; Sattler K.; Duerschmied D.; Lewandowski M.; Akin I.; Kuschyk J.","Fastenrath, Fabian (57191861143); Sattler, Katherine (57193631604); Duerschmied, Daniel (24066267800); Lewandowski, Michal (7004898295); Akin, Ibrahim (16836022800); Kuschyk, Juergen (57207895077)","57191861143; 57193631604; 24066267800; 7004898295; 16836022800; 57207895077","Contemporary implantable cardiac device trials for sudden cardiac death and future guidelines: how can we shape the future?","2026","Expert Review of Cardiovascular Therapy","24","2","","71","80","0","10.1080/14779072.2026.2621666","https://www.scopus.com/pages/publications/105028855258?origin=resultslist","Review","Final","Scopus","2-s2.0-105028855258"
"Shakunthala M.; Gopinath S.; Sivabaalan B.A.; Layakishore S.J.; Hariharan P.; Tamilselvam K.P.","Shakunthala, M. (57211537238); Gopinath, S. (59658964400); Sivabaalan, B.A. (59943433900); Layakishore, S.J. (60050431000); Hariharan, P. (60050980300); Tamilselvam, K.P. (60050431100)","57211537238; 59658964400; 59943433900; 60050431000; 60050980300; 60050431100","Digital Stethoscope for Diagnosing the Heart Disease Using Machine Learning","2025","Proceedings of the 2025 11th International Conference on Communication and Signal Processing, ICCSP 2025","","","","81","86","1","10.1109/ICCSP64183.2025.11089272","https://www.scopus.com/pages/publications/105013469578?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105013469578"
"Hung W.-K.; Sun M.-H.; Lu C.-J.; Chen Y.-X.; Lin Y.-D.","Hung, Wen-Kai (59726013900); Sun, Ming-Hsuan (59385599300); Lu, Chi-Jen (59385389100); Chen, Yu-Xian (59725838300); Lin, Yue-Der (36017114400)","59726013900; 59385599300; 59385389100; 59725838300; 36017114400","Continuous Blood Pressure Estimation Using PPG Signals Without Cuff","2025","IFMBE Proceedings","118 IFMBE","","","75","80","0","10.1007/978-3-031-86323-3_10","https://www.scopus.com/pages/publications/105002007142?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105002007142"
"Mohan A.; Elbers D.; Zilbershot O.; Afghah F.; Vorchheimer D.","Mohan, Aruna (58906713700); Elbers, Danne (57210787367); Zilbershot, Or (58906015800); Afghah, Fatemeh (25928232700); Vorchheimer, David (6603031202)","58906713700; 57210787367; 58906015800; 25928232700; 6603031202","Deciphering Heartbeat Signatures: A Vision Transformer Approach to Explainable Atrial Fibrillation Detection from ECG Signals","2024","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","","","","","4","10.1109/EMBC53108.2024.10782666","https://www.scopus.com/pages/publications/85215009833?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85215009833"
"Gulhane M.; Kumar S.; Choudhary S.; Rakesh N.; Khatri N.; Tandon C.; Balusamy B.; Nayyar A.","Gulhane, Monali (57737922500); Kumar, Sandeep (57234304400); Choudhary, Shilpa (57209414479); Rakesh, Nitin (35321547000); Khatri, Narendra (56046733100); Tandon, Chanderdeep (8302449900); Balusamy, Balamurugan (60007646600); Nayyar, Anand (55201442200)","57737922500; 57234304400; 57209414479; 35321547000; 56046733100; 8302449900; 60007646600; 55201442200","Comprehensive review of heart disease prediction: A comparative study from 2019 onwards","2026","Artificial Intelligence in Medicine","174","","103354","","","0","10.1016/j.artmed.2026.103354","https://www.scopus.com/pages/publications/105028946163?origin=resultslist","Article","Final","Scopus","2-s2.0-105028946163"
"Goyal S.R.","Goyal, Somya Rakesh (57191276120)","57191276120","Neuromorphic system for cardiovascular disorders","2024","Primer to Neuromorphic Computing","","","","67","82","0","10.1016/B978-0-443-21480-6.00005-5","https://www.scopus.com/pages/publications/105001751778?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105001751778"
"Nandhini M.; Suganthi Evangeline C.; Mohan Kumar M.; Sureshkumar V.","Nandhini, M. (59943143600); Suganthi Evangeline, C. (56200937500); Mohan Kumar, M. (53064220400); Sureshkumar, V. (57579706300)","59943143600; 56200937500; 53064220400; 57579706300","Machine Learning-Based Analysis of Lifestyle Factors for Sleep Apnea Detection","2025","2025 8th International Conference on Circuit, Power and Computing Technologies, ICCPCT 2025","","","","1191","1196","1","10.1109/ICCPCT65132.2025.11176518","https://www.scopus.com/pages/publications/105020210243?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105020210243"
"Dharma A.; Sihombing P.; Efendi S.; Mawengkang H.; Turnip A.","Dharma, Abdi (57189250068); Sihombing, Poltak (57193331142); Efendi, Syahril (57193792516); Mawengkang, Herman (36465425100); Turnip, Arjon (57202353784)","57189250068; 57193331142; 57193792516; 36465425100; 57202353784","Portable Holter with Cloud-Based Learning Analytics for Real-Time Health Monitoring","2025","Journal of Biomedical Physics and Engineering","15","4","","393","406","1","10.31661/jbpe.v0i0.2411-1856","https://www.scopus.com/pages/publications/105012876354?origin=resultslist","Article","Final","Scopus","2-s2.0-105012876354"
"Thorat S.T.; Sharifnawaj Y.I.","Thorat, S.T. (55921297300); Sharifnawaj, Y. Inamdar (60570179200)","55921297300; 60570179200","Real-Time Chronic Disease Management with Smart Devices Integrating Internet-of-Things Technology in Healthcare Applications","2026","Artificial Intelligence and Machine Learning in Neurology, 2 Volume Set","1-2","","","581","607","0","10.1002/9781394389131.ch22","https://www.scopus.com/pages/publications/105035277245?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105035277245"
"Liu X.; Min L.; Tao Y.; Han L.; Su L.; Wu L.; Pan X.; Zhang M.; Guo F.; Ding X.","Liu, Xiaoya (60216413400); Min, Li (60216196000); Tao, Yuandong (60216413500); Han, Li (60216739800); Su, Lingfei (60216950400); Wu, Ling (60216196100); Pan, Xuhong (59763362300); Zhang, Ming (60216522100); Guo, Fangming (36161756600); Ding, Xueqin (60216302900)","60216413400; 60216196000; 60216413500; 60216739800; 60216950400; 60216196100; 59763362300; 60216522100; 36161756600; 60216302900","A review of the application of nanotechnology-based, non-contact remote patient monitoring in intelligent nursing for the prevention of major adverse cardiovascular events","2026","Nanomedicine","21","2","","255","273","0","10.1080/17435889.2025.2592972","https://www.scopus.com/pages/publications/105023283482?origin=resultslist","Review","Final","Scopus","2-s2.0-105023283482"
"Bondareva E.; Han J.; Szczurek K.; Szczepanek D.; Jadczyk T.; Mascolo C.","Bondareva, Erika (57225995470); Han, Jing (57189595463); Szczurek, Katarzyna (57261542900); Szczepanek, Dawid (57262278700); Jadczyk, Tomasz (35302171800); Mascolo, Cecilia (6701533742)","57225995470; 57189595463; 57261542900; 57262278700; 35302171800; 6701533742","Heart Sounds for High Blood Pressure Prediction","2025","ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","","","","","","0","10.1109/ICASSP49660.2025.10890434","https://www.scopus.com/pages/publications/105009592368?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105009592368"
"Wei Q.; Zhang Z.","Wei, Q. (60350938700); Zhang, Zaijun (60350938800)","60350938700; 60350938800","The role of electrocardiography in monitoring cardiac function in patients undergoing tumor radiotherapy: A systematic literature review","2025","International Journal of Radiation Research","23","4","","1085","1090","0","10.61186/ijrr.23.4.36","https://www.scopus.com/pages/publications/105028514544?origin=resultslist","Article","Final","Scopus","2-s2.0-105028514544"
"İncir S.; Bolayirli M.","İncir, Said (55652466100); Bolayirli, Murat (16506392100)","55652466100; 16506392100","Polypharmacy as a reason for misinterpreting laboratory results in the elderly","2025","Advances in Pharmacology","104","","","515","581","1","10.1016/bs.apha.2025.05.001","https://www.scopus.com/pages/publications/105006788843?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105006788843"
"Wang L.; Tian S.; Zhu R.","Wang, Liangqi (57209217450); Tian, Shuo (58611737800); Zhu, Rong (7202446527)","57209217450; 58611737800; 7202446527","A new method of continuous blood pressure monitoring using multichannel sensing signals on the wrist","2023","Microsystems and Nanoengineering","9","1","117","","","48","10.1038/s41378-023-00590-4","https://www.scopus.com/pages/publications/85171835172?origin=resultslist","Article","Final","Scopus","2-s2.0-85171835172"
"Nabi J.; Staynings R.; Sofi J.I.; Willis H.H.","Nabi, Junaid (57203870227); Staynings, Richard (58183883700); Sofi, Javaid Iqbal (59666225800); Willis, Henry H. (7005785566)","57203870227; 58183883700; 59666225800; 7005785566","Understanding the Risks and Benefits of Implementing AI-Enabled Remote Patient Monitoring Systems for Disease Management","2025","International Journal of Environmental Research and Public Health","22","11","1734","","","0","10.3390/ijerph22111734","https://www.scopus.com/pages/publications/105023202230?origin=resultslist","Note","Final","Scopus","2-s2.0-105023202230"
"Saurabh J.; Shrivastava A.; Labde V.V.; Badhoutiya A.; Hussein L.; Dutt A.","Saurabh, Juhi (60021494400); Shrivastava, Anurag (58035982500); Labde, Vikrant Vasant (60017713700); Badhoutiya, Arti (57201858001); Hussein, Layth (59241753900); Dutt, Amit (59333375800)","60021494400; 58035982500; 60017713700; 57201858001; 59241753900; 59333375800","Predictive Modeling with Machine Learning in the Management of Chronic Kidney Disease","2025","Synthesis Lectures on Computer Science","Part F698","","","123","132","0","10.1007/978-3-031-93673-9_12","https://www.scopus.com/pages/publications/105012110426?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105012110426"
"Aversano L.; Mancino I.; Marengo A.; Verdone C.","Aversano, Lerina (6701736448); Mancino, Ilaria (59391161200); Marengo, Agostino (24067691200); Verdone, Chiara (57291773200)","6701736448; 59391161200; 24067691200; 57291773200","Comparative Analysis of Machine Learning and Deep Learning Models for Atrial Fibrillation Detection from Long-Term ECG","2026","Applied Sciences (Switzerland)","16","5","2390","","","0","10.3390/app16052390","https://www.scopus.com/pages/publications/105032643795?origin=resultslist","Article","Final","Scopus","2-s2.0-105032643795"
"Kosztin A.; Szegedi N.; Salló Z.; Schwertner W.R.; Gellér L.","Kosztin, Annamária (56433665100); Szegedi, Nándor (56507194100); Salló, Zoltán (56741257100); Schwertner, Walter Richard (57196078806); Gellér, László (7202926968)","56433665100; 56507194100; 56741257100; 57196078806; 7202926968","The Year in Hungarian Cardiology 2023: Arrhythmias; [A magyar kardiológia eredményei 2023-ban: szívritmuszavarok]","2024","Cardiologia Hungarica","54","2","","80","84","1","10.26430/CHUNGARICA.2024.54.2.80","https://www.scopus.com/pages/publications/85194708682?origin=resultslist","Article","Final","Scopus","2-s2.0-85194708682"
"Pandit A.P.; Avachat A.M.; Shrotriya S.N.; Mondal M.I.H.","Pandit, Ashlesha P. (57197981024); Avachat, Amelia M. (16306484900); Shrotriya, Shilpa N. (36873178600); Mondal, Md. Ibrahim H. (13410346600)","57197981024; 16306484900; 36873178600; 13410346600","Smart intelligent textiles for monitoring patients with heart conditions","2024","Smart Textiles from Natural Resources","","","","561","585","1","10.1016/B978-0-443-15471-3.00021-2","https://www.scopus.com/pages/publications/85198442670?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-85198442670"
"Canino G.; Di Costanzo A.; Salerno N.; Leo I.; Cannataro M.; Guzzi P.H.; Veltri P.; Sorrentino S.; De Rosa S.; Torella D.","Canino, Giovanni (56435764000); Di Costanzo, Assunta (58291568200); Salerno, Nadia (57192316120); Leo, Isabella (57219381065); Cannataro, Mario (6603766091); Guzzi, Pietro Hiram (56388531300); Veltri, Pierangelo (15766584600); Sorrentino, Sabato (56725860300); De Rosa, Salvatore (56346580100); Torella, Daniele (6602125909)","56435764000; 58291568200; 57192316120; 57219381065; 6603766091; 56388531300; 15766584600; 56725860300; 56346580100; 6602125909","Artificial Intelligence in Cardiac Electrophysiology: A Clinically Oriented Review with Engineering Primers","2025","Bioengineering","12","10","1102","","","5","10.3390/bioengineering12101102","https://www.scopus.com/pages/publications/105020085477?origin=resultslist","Review","Final","Scopus","2-s2.0-105020085477"
"Sony A.; Thaile M.; Kiran M.A.; Pittala R.B.; Kumar B.N.; Chandu G.S.; Raju M.","Sony, Adurupalli (60133985200); Thaile, Manyam (57190166355); Kiran, Medikonda Asha (57207998995); Pittala, Ramesh Babu (57191368557); Kumar, Busa Nithin (60133762200); Chandu, Gandham Sai (60133790500); Raju, Muntha (58246307000)","60133985200; 57190166355; 57207998995; 57191368557; 60133762200; 60133790500; 58246307000","Predictive Health Monitoring System for Patient Risk Assessment using Machine Learning","2025","2025 5th International Conference on Intelligent Technologies, CONIT 2025","","","","","","0","10.1109/CONIT65521.2025.11167397","https://www.scopus.com/pages/publications/105018307019?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105018307019"
"Khan M.M.; Shah N.","Khan, Muhammad Mohsin (57214993147); Shah, Noman (59530738600)","57214993147; 59530738600","AI-driven wearable sensors for postoperative monitoring in surgical patients: A systematic review","2025","Computers in Biology and Medicine","196","","110783","","","4","10.1016/j.compbiomed.2025.110783","https://www.scopus.com/pages/publications/105010673443?origin=resultslist","Review","Final","Scopus","2-s2.0-105010673443"
"Despotovic V.; Pocta P.; Zgank A.","Despotovic, Vladimir (35572969800); Pocta, Peter (23005874900); Zgank, Andrej (6602793320)","35572969800; 23005874900; 6602793320","CardioPHON: Quality assessment and self-supervised pretraining for screening of cardiac function based on phonocardiogram recordings","2026","Biomedical Signal Processing and Control","113","","109047","","","0","10.1016/j.bspc.2025.109047","https://www.scopus.com/pages/publications/105020827279?origin=resultslist","Article","Final","Scopus","2-s2.0-105020827279"
"Dangi R.R.; Sharma A.; Vageriya V.","Dangi, Ravi Rai (57225139578); Sharma, Anil (57204966942); Vageriya, Vipin (57209027987)","57225139578; 57204966942; 57209027987","Transforming Healthcare in Low-Resource Settings With Artificial Intelligence: Recent Developments and Outcomes","2025","Public Health Nursing","42","2","","1017","1030","41","10.1111/phn.13500","https://www.scopus.com/pages/publications/85211148679?origin=resultslist","Review","Final","Scopus","2-s2.0-85211148679"
